#sid	uid	name	killed
s00000	ch0171390	Waymar Royce	false
s00000	ch0171394	Will	false
s00000	ch0171395	Gared	false
s00001	ch0171390	Waymar Royce	false
s00001	ch0171394	Will	false
s00001	ch0171395	Gared	false
s00002	ch0171394	Will	false
s00002	ch0305043	Wight Wildling Girl	false
s00003	ch0171394	Will	false
s00005	ch0171390	Waymar Royce	false
s00005	ch0171394	Will	false
s00005	ch0171395	Gared	false
s00006	ch0171394	Will	false
s00007	ch0171390	Waymar Royce	false
s00007	ch0171395	Gared	false
s00008	ch0171394	Will	false
s00009	ch0171390	Waymar Royce	true
s00009	ch0171395	Gared	false
s00009	ch0304921	White Walker	false
s00010	ch0171394	Will	false
s00011	ch0171394	Will	false
s00011	ch0305043	Wight Wildling Girl	false
s00012	ch0171394	Will	false
s00012	ch0171395	Gared	true
s00012	ch0304921	White Walker	false
s00013	ch0145135	Catelyn Stark	false
s00013	ch0154681	Eddard Stark	false
s00013	ch0155777	Jon Snow	false
s00013	ch0158137	Sansa Stark	false
s00013	ch0158526	Theon Greyjoy	false
s00013	ch0158596	Robb Stark	false
s00013	ch0158604	Arya Stark	false
s00013	ch0171391	Rodrik Cassel	false
s00013	ch0171394	Will	false
s00013	ch0233141	Rickon Stark	false
s00013	ch0234897	Bran Stark	false
s00013	ch0248505	Septa Mordane	false
s00014	ch0154681	Eddard Stark	false
s00014	ch0155777	Jon Snow	false
s00014	ch0158526	Theon Greyjoy	false
s00014	ch0158596	Robb Stark	false
s00014	ch0171391	Rodrik Cassel	false
s00014	ch0171394	Will	true
s00014	ch0234897	Bran Stark	false
s00014	ch0245400	Jory Cassel	false
s00015	ch0154681	Eddard Stark	false
s00015	ch0155777	Jon Snow	false
s00015	ch0158526	Theon Greyjoy	false
s00015	ch0158596	Robb Stark	false
s00015	ch0171391	Rodrik Cassel	false
s00015	ch0234897	Bran Stark	false
s00015	ch0245400	Jory Cassel	false
s00015	ui0000005	Ghost	false
s00015	ui0000006	Grey Wind	false
s00015	ui0000013	Lady	false
s00015	ui0000014	Nymeria	false
s00015	ui0000022	Shaggydog	false
s00015	ui0000023	Summer	false
s00016	ch0158527	Jaime Lannister	false
s00016	ch0159526	Cersei Lannister	false
s00016	ch0251737	Jon Arryn	true
s00017	ch0145135	Catelyn Stark	false
s00017	ch0154681	Eddard Stark	false
s00018	ch0145135	Catelyn Stark	false
s00018	ch0171393	Maester Luwin	false
s00019	ch0155777	Jon Snow	false
s00019	ch0158526	Theon Greyjoy	false
s00019	ch0158596	Robb Stark	false
s00020	ch0145135	Catelyn Stark	false
s00020	ch0154681	Eddard Stark	false
s00020	ch0155776	Robert Baratheon	false
s00020	ch0155777	Jon Snow	false
s00020	ch0156278	Joffrey Baratheon	false
s00020	ch0158137	Sansa Stark	false
s00020	ch0158526	Theon Greyjoy	false
s00020	ch0158527	Jaime Lannister	false
s00020	ch0158604	Arya Stark	false
s00020	ch0159526	Cersei Lannister	false
s00020	ch0162882	Sandor Clegane	false
s00020	ch0171391	Rodrik Cassel	false
s00020	ch0171393	Maester Luwin	false
s00020	ch0233141	Rickon Stark	false
s00020	ch0234897	Bran Stark	false
s00020	ch0238584	Hodor	false
s00020	ch0238585	Myrcella Baratheon	false
s00020	ch0245400	Jory Cassel	false
s00020	ch0256424	Tommen Baratheon	false
s00020	ui0000023	Summer	false
s00021	ch0154681	Eddard Stark	false
s00021	ch0155776	Robert Baratheon	false
s00022	ch0010187	Ros	false
s00022	ch0146096	Tyrion Lannister	false
s00022	ch0158527	Jaime Lannister	false
s00023	ch0154681	Eddard Stark	false
s00023	ch0155776	Robert Baratheon	false
s00024	ch0155775	Viserys Targaryen	false
