uid	eid	duration
ch0010188	S03E02	276
ch0010188	S03E04	393
ch0010188	S03E05	143
ch0010188	S03E06	225
ch0010188	S03E08	253
ch0010188	S04E01	90
ch0010188	S04E02	849
ch0010188	S04E03	99
ch0010188	S04E04	144
ch0010188	S05E06	455
ch0010188	S05E07	324
ch0010188	S06E03	129
ch0010188	S06E04	156
ch0010188	S06E06	222
ch0010188	S06E07	282
ch0010188	S06E10	97
ch0010188	S07E02	254
ch0010188	S07E03	354
ch0155775	S01E01	716
ch0155775	S01E02	186
ch0155775	S01E03	218
ch0155775	S01E04	444
ch0155775	S01E06	631
ch0155776	S01E01	771
ch0155776	S01E02	448
ch0155776	S01E03	272
ch0155776	S01E04	249
ch0155776	S01E05	986
ch0155776	S01E06	382
ch0155776	S01E07	315
ch0155777	S01E01	1099
ch0155777	S01E02	839
ch0155777	S01E03	616
ch0155777	S01E04	867
ch0155777	S01E07	661
ch0155777	S01E08	444
ch0155777	S01E09	454
ch0155777	S01E10	343
ch0155777	S02E01	374
ch0155777	S02E02	255
ch0155777	S02E03	151
ch0155777	S02E05	326
ch0155777	S02E06	706
ch0155777	S02E07	463
ch0155777	S02E08	159
ch0155777	S02E10	224
ch0155777	S03E01	435
ch0155777	S03E02	160
ch0155777	S03E03	136
ch0155777	S03E05	379
ch0155777	S03E06	644
ch0155777	S03E07	394
ch0155777	S03E09	311
ch0155777	S03E10	160
ch0155777	S04E01	214
ch0155777	S04E03	162
ch0155777	S04E04	520
ch0155777	S04E05	441
ch0155777	S04E07	170
ch0155777	S04E08	111
ch0155777	S04E09	1197
ch0155777	S04E10	943
ch0155777	S05E01	817
ch0155777	S05E02	484
ch0155777	S05E03	552
ch0155777	S05E04	307
ch0155777	S05E05	610
ch0155777	S05E07	135
ch0155777	S05E08	1449
ch0155777	S05E09	171
ch0155777	S05E10	541
ch0155777	S06E01	472
ch0155777	S06E02	455
ch0155777	S06E03	617
ch0155777	S06E04	521
ch0155777	S06E05	240
ch0155777	S06E07	745
